NoOfQueries,time type,query repetition,Average response time-1,Average response time-2,Average response time-3,Average response time-4,Average response time-5
500,Fixed,Fixed,877124.74,1770723.92,1858251.16,2109596.65,2310750.63
500,Fixed,Uniform,495056.31,993336.78,551653.68,582553.37,580124.44
500,Fixed,RanDom,280832.98,576533.54,363136.71,370139.96,458659.26
500,Fixed,Poisson,95319.98,208309.83,120953.58,159263.48,190543.07
500,Fixed,Exponential,62192.66,139645,87615.81,116285.48,149371.18
,,,,,,,
500,Uniform,Fixed,355,705,1055,1405,1755
500,Uniform,Uniform,112988.37,291437.44,238848.06,305880.21,376322.75
500,Uniform,RanDom,77652.44,201489.31,239253.05,313913.92,380339.86
500,Uniform,Poisson,4772.01,32428.93,36604.03,63264.25,83095.55
500,Uniform,Exponential,13606.02,33233.88,68537.57,81741.32,123263.78
,,,,,,,
500,RanDom,Fixed,355,705,1055,1405,1755
500,RanDom,Uniform,48941.74,149688.74,210732.79,284991.02,353224.35
500,RanDom,RanDom,51150.22,159325.9,229411.13,301861.87,403434.72
500,RanDom,Poisson,2563.49,31223.81,31181.22,60050.44,78074.09
500,RanDom,Exponential,15814.42,53310.4,68537.42,84150.94,129288.07
,,,,,,,
500,Poisson,Fixed,355,705,1055,1405,1755
500,Poisson,Uniform,66609.64,121981.81,212542.33,293830.95,356240.42
500,Poisson,RanDom,53358.71,157721.05,227605.53,301061.26,394400.33
500,Poisson,Poisson,355,28413.62,29373.82,52017.18,83095.85
500,Poisson,Exponential,13605.93,41667.76,77576.06,87365.38,108201.05
,,,,,,,
500,Exponential,Fixed,355,705,1055,1405,1755.03
500,Exponential,Uniform,40107.9,131620.12,210129.01,282579.57,348202.02
500,Exponential,RanDom,44524.76,176992.08,223384.14,300253.31,405441.16
500,Exponential,Poisson,2563.49,22389.84,32988.5,65673.6,73052.84
500,Exponential,Exponential,9188.98,48493.19,67331.94,95397.77,114224.56
,,,,,,,
,,,,,,,
,,,,,,,
1000,Fixed,Fixed,16918.84,72386.67,99869.59,123516.94,166445.11
1000,Fixed,Uniform,43420.77,125396.82,211034.91,282984.16,345694.82
1000,Fixed,RanDom,51150.52,160933.59,228809.49,306281.69,388875.41
1000,Fixed,Poisson,8084.72,39255.23,35097.67,50811.98,84601.86
1000,Fixed,Exponential,11397.48,59534.96,68537.76,90980.02,121255.17
,,,,,,,
1000,Uniform,Fixed,18023.05,72386.62,100170.42,123516.34,166444.41
1000,Uniform,Uniform,53359.09,139852.83,214349.1,280574.34,362263.99
1000,Uniform,RanDom,59984.46,129411.4,227905.98,298649.81,401428.28
1000,Uniform,Poisson,4771.99,38452.67,38110.37,52016.9,79580.79
1000,Uniform,Exponential,9188.98,53110.35,66127.75,86159.84,118242.65
,,,,,,,
1000,RanDom,Fixed,18023.02,72386.56,100170.3,123516.31,165942.3
1000,RanDom,Uniform,62193.05,147882.68,210131.3,266113.24,367284.87
1000,RanDom,RanDom,51150.45,138044.39,232123.36,295436.41,407955.29
1000,RanDom,Poisson,2563.52,33232.28,41424.24,57238.9,73555.5
1000,RanDom,Exponential,11397.48,54316.17,73659.23,92586.73,126276.25
,,,,,,,
1000,Poisson,Fixed,19127.15,72386.68,100170.86,123516.94,166445.11
1000,Poisson,Uniform,46733.25,146276.86,198985.45,269328.23,375822.48
1000,Poisson,RanDom,47837.49,159728.7,233028.28,293027.58,400927.68
1000,Poisson,Poisson,4771.98,18374.56,36604.15,46393.61,77070.6
1000,Poisson,Exponential,22439.88,44277.16,69441.93,88570.43,129791.52
,,,,,,,
1000,Exponential,Fixed,19127.15,72386.46,100169.39,123515.24,166442.8
1000,Exponential,Uniform,58879.99,137643.19,215551.62,274144.34,358244.08
1000,Exponential,RanDom,53358.74,165350.12,228806.95,302261.92,400922.26
1000,Exponential,Poisson,2563.49,35842.42,36904.91,46794.65,77069.46
1000,Exponential,Exponential,20231.41,45481.3,76068.49,92585.98,118743.7
,,,,,,,
,,,,,,,
,,,,,,,
1500,Fixed,Fixed,53364.73,133237.14,214950.5,266111.69,356737.59
1500,Fixed,Uniform,97539.5,188859.21,323702.56,430395.89,555566.1
1500,Fixed,RanDom,82078.33,206930.82,351117.21,451282.99,590712.86
1500,Fixed,Poisson,5876.85,44680.87,53172.61,82142.09,121253.7
1500,Fixed,Exponential,24651.13,73797.62,117039.51,130744.91,196567.93
,,,,,,,
1500,Uniform,Fixed,53364.73,133236.52,214946.73,266108.11,356734.52
1500,Uniform,Uniform,90913.29,207533.48,308035.12,420350.88,562090.42
1500,Uniform,RanDom,88704.55,200105.31,331834.21,455296.35,582676.22
1500,Uniform,Poisson,2563.74,73394.92,51364.71,71296.26,131294.91
1500,Uniform,Exponential,32381.71,63958.78,105892.15,137170.74,168951.86
,,,,,,,
1500,RanDom,Fixed,53364.73,133236.64,214948.37,266110.03,356736.53
1500,RanDom,Uniform,87600.18,198697.84,309844.56,433207.68,547532.53
1500,RanDom,RanDom,73243.38,212755.1,339066.69,460119.84,599248.6
1500,RanDom,Poisson,9189.95,37050.46,51365.1,79330.19,122257.92
1500,RanDom,Exponential,21338.02,84640.49,112219.29,133154.98,175982.05
,,,,,,,
1500,Poisson,Fixed,53364.73,133235.51,214944.39,266107.29,356734.52
1500,Poisson,Uniform,97539.5,216968.35,314357.77,420349.59,545521.36
1500,Poisson,RanDom,90913.29,201308.05,342073.02,462525.22,587697.14
1500,Poisson,Poisson,4772.48,56527.17,54979.23,91781.35,128784.44
1500,Poisson,Exponential,23546.76,88254.92,107095.94,135965.34,181002.08
,,,,,,,
1500,Exponential,Fixed,53364.73,133235.74,214945,266107.46,356734.63
1500,Exponential,Uniform,86495.81,195283.55,327011.21,422759.95,564098.91
1500,Exponential,RanDom,83182.7,223395.85,335446.21,456500.46,592718.22
1500,Exponential,Poisson,2563.74,36246.95,55581.91,70492.75,125771.92
1500,Exponential,Exponential,29068.6,62151.01,108301.16,135162.08,172466.52
,,,,,,,
started new experiment***,,,,,,,
2000,Fixed,Fixed,711844.94,1475653.04,1183318.7,1334297.63,1489040.37
2000,Fixed,Uniform,69930.27,177814.41,287024.96,392889.98,534605.83
2000,Fixed,RanDom,24375.03,116218.89,304498.57,465191.44,612179.81
2000,Fixed,Poisson,24375.03,157633.95,331837.61,564758.05,754900.71
2000,Fixed,Exponential,355,2964.07,6251.74,7430.19,15689.35
,,,,,,,
2000,Uniform,Fixed,355,705,1055,1405,1755
2000,Uniform,Uniform,23546.76,102363.06,241909.3,393036.65,537613.4
2000,Uniform,RanDom,16092.26,111700.17,299072.77,459011.78,608785.03
2000,Uniform,Poisson,16092.26,141368.12,338386.39,571077.86,754894
2000,Uniform,Exponential,355,2060.67,5573.85,9237.64,15311.5
,,,,,,,
2000,RanDom,Fixed,355,1156.88,1055,1405,1756.21
2000,RanDom,Uniform,25203.31,95736.77,248690.1,404186.87,546656.17
2000,RanDom,RanDom,27688.14,111701.34,305627.96,461276.26,609920.18
2000,RanDom,Poisson,20233.65,161397.84,335452.84,573645.32,754900.76
2000,RanDom,Exponential,7809.49,3717.23,7155.5,10442.76,11923.63
,,,,,,,
2000,Poisson,Fixed,2839.83,1156.87,1055,1405,1755
2000,Poisson,Uniform,19405.37,103114.74,255236.94,402826.12,545521.36
2000,Poisson,RanDom,33486.08,110043.15,308332.72,455696.45,602006.78
2000,Poisson,Poisson,11950.88,156576.91,327311.64,561738.03,754894
2000,Poisson,Exponential,2839.83,4018.42,6025.67,8333.85,14934.93
,,,,,,,
2000,Exponential,Fixed,1183.28,1156.88,1280.94,1405,2131.58
2000,Exponential,Uniform,15263.99,88055.39,259530.39,404483.17,542885.48
2000,Exponential,RanDom,14435.71,117723.69,314659.85,449068.46,595228.66
2000,Exponential,Poisson,14435.71,170432.43,324375.27,564901.46,754894.16
2000,Exponential,Exponential,355,1307.5,6703.49,7731.35,17570.96
,,,,,,,
,,,,,,,
,,,,,,,
2500,Fixed,Fixed,4330.73,29500.8,70104.4,111184.9,152687.99
2500,Fixed,Uniform,17583.16,106369.42,255920.94,409069.22,548541.07
2500,Fixed,RanDom,25534.62,126609.51,308701.75,457993.65,612106.35
2500,Fixed,Poisson,16920.54,171066.43,330753.92,569096.9,754902.37
2500,Fixed,Exponential,355,3235.3,7200.7,11047.09,16520.56
,,,,,,,
2500,Uniform,Fixed,4330.73,29500.56,70102.81,111182.39,152684.06
2500,Uniform,Uniform,20233.65,117090.18,248687.4,409424.72,553655.26
2500,Uniform,RanDom,19571.03,103237.62,300382.77,460397.36,606977.5
2500,Uniform,Poisson,20233.65,152512.55,331291.94,567041.21,754894
2500,Uniform,Exponential,355,4199.31,7381.38,9599.14,13503.97
,,,,,,,
2500,RanDom,Fixed,4330.73,29500.64,70103.68,111185.2,152689.03
2500,RanDom,Uniform,22221.51,87814.74,246702.33,397018.3,559386.51
2500,RanDom,RanDom,33486.08,106851.07,307074.98,461126.04,601562.39
2500,RanDom,Poisson,12944.81,141427.57,335634.41,563313.43,751287.4
2500,RanDom,Exponential,4330.73,2151.06,7019.93,10082.91,15918.1
,,,,,,,
2500,Poisson,Fixed,6318.59,29500.34,70102.11,111182,152684.06
2500,Poisson,Uniform,26859.86,96247.21,243804.4,401470.44,540701.27
2500,Poisson,RanDom,30172.97,103959.44,300018.15,445574.09,611797.59
2500,Poisson,Poisson,28185.11,151185.63,334360.95,569570.31,751580.19
2500,Poisson,Exponential,1680.24,2512.49,5212.29,12250.16,13805.22
,,,,,,,
2500,Exponential,Fixed,6318.59,29500.41,70102.32,111182.14,152684.13
2500,Exponential,Uniform,29510.35,89741.73,246335.4,410628.54,537990.09
2500,Exponential,RanDom,20896.27,136849.22,305802.89,458588.64,597638.7
2500,Exponential,Poisson,22221.51,174558.58,326770.18,567883.43,754894.19
2500,Exponential,Exponential,5655.97,5644.98,9008.11,9358.13,14708.99
,,,,,,,
,,,,,,,
,,,,,,,
3000,Fixed,Fixed,9189.97,51710.33,115836.62,182564.06,253058.16
3000,Fixed,Uniform,22442.4,102413.04,252608.51,401076.97,546282.99
3000,Fixed,RanDom,26859.89,105326.3,309245.07,461629.87,601262.35
3000,Fixed,Poisson,21338.04,165665.97,337412.88,566065.91,754903.48
3000,Fixed,Exponential,3668.11,2211.84,7534.34,10647.6,14564.19
,,,,,,,
3000,Uniform,Fixed,9189.95,51709.46,115833.6,182559.59,253052.38
3000,Uniform,Uniform,22442.39,101108.16,250344.39,404986.12,544768.22
3000,Uniform,RanDom,28516.42,104019.9,303817.29,460416.93,610291.31
3000,Uniform,Poisson,20785.83,148998.15,342076.88,565856.61,754894
3000,Uniform,Exponential,6429.03,4219.44,7532.01,10844.35,15060.46
,,,,,,,
3000,RanDom,Fixed,9189.95,51710.16,115836.83,182565.05,253059.5
3000,RanDom,Uniform,20233.68,123898.87,250800.83,398867.25,546785.34
3000,RanDom,RanDom,36247.02,119884,301563.08,462232.36,612057.61
3000,RanDom,Poisson,20785.84,150103.94,324157.6,569279.1,754903.46
3000,RanDom,Exponential,6429.04,3416.61,6931.8,11450.89,10547.6
,,,,,,,
3000,Poisson,Fixed,9189.95,51709.09,115681.64,182559.15,253052.38
3000,Poisson,Uniform,25755.49,117973.71,252751.6,400064,542006.71
3000,Poisson,RanDom,34590.45,125705.13,303663.3,453888.13,610040.27
3000,Poisson,Poisson,19681.46,147491.88,334240.45,566657.85,754894
3000,Poisson,Exponential,4220.29,2612.91,6025.67,10442.64,17570.92
,,,,,,,
3000,Exponential,Fixed,9189.95,51709.19,115681.86,182559.26,253052.47
3000,Exponential,Uniform,22442.39,88959.29,237538.81,404282.55,547780.9
3000,Exponential,RanDom,18577.09,113256.55,302910.91,450575.19,597488.08
3000,Exponential,Poisson,20233.65,158234.15,330174.31,566758.3,754894.12
3000,Exponential,Exponential,907.18,4620.82,6326.93,11446.83,14307.33
,,,,,,,
,,,,,,,
,,,,,,,
3500,Fixed,Fixed,10295.46,66800.86,150826.48,235787.06,324751.14
3500,Fixed,Uniform,16921.66,106904.87,250371.78,395454.76,539075.37
3500,Fixed,RanDom,21654.67,109401.77,309633.43,454500.92,604921.36
3500,Fixed,Poisson,19288.17,158711.41,329129.05,565277.87,754904.26
3500,Fixed,Exponential,1302.7,4666.58,5707.07,10534.37,14457.9
,,,,,,,
3500,Uniform,Fixed,10294.32,66798.04,150693.29,235781.32,324744.04
3500,Uniform,Uniform,23073.45,98727.03,245976.08,390024.1,558647.49
3500,Uniform,RanDom,25439.96,101997.12,298265.61,457504.54,598456.27
3500,Uniform,Poisson,18340.44,150446.57,333383.42,564579.67,754894
3500,Uniform,Exponential,3668.11,3287.01,6219.42,9495.87,15311.5
,,,,,,,
3500,RanDom,Fixed,12188.6,66714.78,150698.22,235788.3,324752.59
3500,RanDom,Uniform,24967.75,93136.18,245981.85,397175.89,545745.72
3500,RanDom,RanDom,26860.93,113876.27,303952.53,448820.19,602124.08
3500,RanDom,Poisson,18815.03,150966.12,328999.9,568031.44,754904.36
3500,RanDom,Exponential,4142.52,2256.94,5836.25,6575.04,13166.85
,,,,,,,
3500,Poisson,Fixed,12187.53,66711.59,150820.61,235608.57,324744.04
3500,Poisson,Uniform,22126.85,98726.42,248426.48,397597.03,551116.1
3500,Poisson,RanDom,27333.17,108193.17,304975.9,463700.29,605126.93
3500,Poisson,Poisson,19287.05,160084.45,332346.86,566643.84,754894
3500,Poisson,Exponential,5088.01,4577.84,8414.17,9323.69,13159.68
,,,,,,,
3500,Exponential,Fixed,12187.53,66711.69,150820.99,235608.75,324744.11
3500,Exponential,Uniform,20233.65,95025.58,249459.84,406807.45,552622.53
3500,Exponential,RanDom,23546.76,115766.25,304201.98,450790.31,602760.04
3500,Exponential,Poisson,19760.35,169980.56,330411.05,569054.27,754894.22
3500,Exponential,Exponential,3194.81,2942.67,6348.44,10012.28,14881.14
,,,,,,,
,,,,,,,
,,,,,,,
4000,Fixed,Fixed,14851.24,76235.12,173339.4,276681.83,378519.4
4000,Fixed,Uniform,23962.29,100859.18,252759.62,395378.8,548165.97
4000,Fixed,RanDom,28103.69,112757.42,310261.99,455177.79,598814.75
4000,Fixed,Poisson,23134.01,144232.52,329806.09,567396.02,754903.38
4000,Fixed,Exponential,6154.32,6807.24,8176.2,12406.19,12493.89
,,,,,,,
4000,Uniform,Fixed,14849.85,76307.64,173335.85,276676.58,378512.78
4000,Uniform,Uniform,17748.82,103416.1,246089.03,397706.31,540814.24
4000,Uniform,RanDom,24789.17,122769.77,301670.9,452383.81,590709.7
4000,Uniform,Poisson,16920.54,150102.88,337482.71,566333.53,754894
4000,Uniform,Exponential,1183.28,3265.51,8624.07,10593.28,15499.79
,,,,,,,
4000,RanDom,Fixed,13194.63,76310.39,173453.42,276683.4,378520.71
4000,RanDom,Uniform,21477.45,92049.31,246546.04,407353.53,554191.31
4000,RanDom,RanDom,28931.86,113284.31,303257.79,461730.18,617078.41
4000,RanDom,Poisson,18164.37,140618.14,331952.66,565362.72,754903.4
4000,RanDom,Exponential,770.46,2138.67,8402.18,9996.15,15882.88
,,,,,,,
4000,Poisson,Fixed,13193.29,76307.23,173446.84,276675.88,378512.78
4000,Poisson,Uniform,23960.89,91292.78,256592.57,401169.05,543826.8
4000,Poisson,RanDom,28516.42,123822.91,302119.38,455847.08,597864.52
4000,Poisson,Poisson,20647.79,145885.75,324374.42,566858.52,754894
4000,Poisson,Exponential,769.14,2587.65,7494.28,11497.03,16629.5
,,,,,,,
4000,Exponential,Fixed,14849.85,76307.37,173334.35,276676.1,378512.85
4000,Exponential,Uniform,25203.31,92272.05,249702.02,407420.64,547216.01
4000,Exponential,RanDom,22304.34,108462.02,302458.98,455621.17,595981.84
4000,Exponential,Poisson,19405.37,142647.89,330588.56,563696.75,754894.19
4000,Exponential,Exponential,3253.97,1910,7155.37,9990.76,15876.37
,,,,,,,
,,,,,,,
,,,,,,,
4500,Fixed,Fixed,16553.65,77482.06,191853.87,307417.44,420338.8
4500,Fixed,Uniform,21339.25,103385.41,251102.1,406632.66,547202.67
4500,Fixed,RanDom,26861.1,109745.66,304625.63,463202.17,601930.9
4500,Fixed,Poisson,19130.51,169983.91,335152.97,571988.86,754902.34
4500,Fixed,Exponential,4037.45,4188.09,7686.22,11719.39,16321.61
,,,,,,,
4500,Uniform,Fixed,16552.42,77479.55,191850.55,307412.97,420332.92
4500,Uniform,Uniform,22442.39,102713.97,247783.76,395446.57,555395.85
4500,Uniform,RanDom,28332.36,121321.68,304118.74,454023.72,603262.01
4500,Uniform,Poisson,18024.91,160142.44,331432.8,568166.03,754894
4500,Uniform,Exponential,2931.86,5323.63,7481.8,11446.84,14976.77
,,,,,,,
4500,RanDom,Fixed,16553.71,77482.06,191855.06,307418.87,420340.38
4500,RanDom,Uniform,20234.84,87790.98,252608.56,401679.2,551219.44
4500,RanDom,RanDom,26861.06,112221.94,305027.15,459787.6,601596.21
4500,RanDom,Poisson,12136.09,156463.4,333245.01,568909.39,750550.98
4500,RanDom,Exponential,1460.52,3385.11,7385,12255.09,13476.53
,,,,,,,
4500,Poisson,Fixed,16552.42,77479.02,191848.36,307545.99,420165.56
4500,Poisson,Uniform,20233.65,95350.87,243462.98,398391.04,546023.45
4500,Poisson,RanDom,23914.88,112954.94,306223.95,456298.62,601755.74
4500,Poisson,Poisson,20233.65,169846.94,334340.87,571377.61,749705.71
4500,Poisson,Exponential,4772.48,3315.68,6477.55,10509.58,16817.78
,,,,,,,
4500,Exponential,Fixed,16552.42,77479.18,191848.77,307546.23,420333.02
4500,Exponential,Uniform,19865.52,90196.96,244066.12,403746.64,551713.97
4500,Exponential,RanDom,26123.62,104387.61,305923.35,450876.44,606944.18
4500,Exponential,Poisson,18024.91,146086.35,332232.89,563947.29,754894.2
4500,Exponential,Exponential,4404.35,4922.09,8285.09,10107.92,16483.07
,,,,,,,
,,,,,,,
,,,,,,,
5000,Fixed,Fixed,17252.96,83358.84,207298.69,331645.88,453795.2
5000,Fixed,Uniform,22885.24,105768.37,251855.38,398706.67,553060.3
5000,Fixed,RanDom,22222.62,116431.38,303280.23,453656.15,600960.19
5000,Fixed,Poisson,21228.7,144382.5,330483.66,564819.56,754902.39
5000,Fixed,Exponential,4994.45,4743.56,7384.59,9482.94,16371.24
,,,,,,,
5000,Uniform,Fixed,17251.85,83356.53,207294.96,331640.69,453789.03
5000,Uniform,Uniform,22884.13,99079.83,247060.74,397193.96,551094.59
5000,Uniform,RanDom,26859.86,115405.51,304992.29,461119.89,608935.66
5000,Uniform,Poisson,15595.3,144922.81,332195.86,569572.12,754894
5000,Uniform,Exponential,4662.04,4922.17,7110.25,12009.2,14106.48
,,,,,,,
5000,RanDom,Fixed,17252.93,83358.77,207299.44,331646.92,453796.13
5000,RanDom,Uniform,23216.54,94805.08,249144.04,394790.49,548089.58
5000,RanDom,RanDom,25535.8,117757.11,304364.66,452149.71,597194.53
5000,RanDom,Poisson,15927.74,146129.74,333737.46,564036.45,754902.28
5000,RanDom,Exponential,3669.19,3237.58,7203.66,9482.94,15618.12
,,,,,,,
5000,Poisson,Fixed,17251.85,83355.92,207292.58,331519.21,453789.03
5000,Poisson,Uniform,21227.58,84741.79,245973.42,402434.59,546877.01
5000,Poisson,RanDom,22221.51,119681.08,310682.49,462805.58,600048.62
5000,Poisson,Poisson,19571.03,148415.03,338789.36,566557.77,754894
5000,Poisson,Exponential,5987.28,6367.72,7562.06,11045.14,15612.76
,,,,,,,
5000,Exponential,Fixed,17251.85,83175.32,207293.05,331519.43,453789.11
5000,Exponential,Uniform,19571.03,95705.8,243714.57,397434.11,551094.79
5000,Exponential,RanDom,34811.32,114862.08,309598.7,453888.93,597036.21
5000,Exponential,Poisson,19902.34,130826.06,333548.43,569028.22,754894.23
5000,Exponential,Exponential,4993.35,5825.61,7833.2,10322.15,14407.74
